time_s,event_type,score,after_score,s_bar,level,from_behavior,to_behavior
0,score,0,0,,,,
0,decision,,,0,Comfort,,
10,score,0,1,,,,
20,score,3,3,,,,
20,decision,,,1.3453,Mild,,
20,switch,,,1.3453,Mild,aggressive,normal
30,score,0,1,,,,
40,score,4,3,,,,
40,decision,,,1.9362,Bad,,
50,score,0,0,,,,
60,score,3,3,,,,
60,decision,,,1.916,Bad,,
60,switch,,,1.916,Bad,normal,cautious
70,score,3,4,,,,
80,score,3,3,,,,
80,decision,,,2.5388,Bad,,
90,score,0,1,,,,
100,score,0,0,,,,
100,decision,,,1.126,Mild,,
110,score,4,2,,,,
120,score,3,2,,,,
120,decision,,,2.3681,Bad,,
130,score,1,1,,,,
140,score,4,2,,,,
140,decision,,,2.5336,Bad,,
150,score,0,1,,,,
160,score,0,0,,,,
160,decision,,,1.3008,Mild,,
170,score,0,0,,,,
180,score,3,2,,,,
180,decision,,,1.3911,Mild,,
190,score,3,2,,,,
200,score,3,1,,,,
200,decision,,,2.1932,Bad,,
210,score,3,3,,,,
220,score,4,3,,,,
220,decision,,,3.1421,Bad,,
230,score,0,0,,,,
240,score,0,0,,,,
240,decision,,,1.4801,Mild,,
250,score,3,2,,,,
260,score,0,0,,,,
260,decision,,,1.2361,Mild,,
270,score,0,0,,,,
280,decision,,,0.5383,Mild,,
300,score,0,0,,,,
300,decision,,,0.3113,Comfort,,
310,score,0,1,,,,
320,score,1,1,,,,
320,decision,,,0.4134,Comfort,,
330,score,0,1,,,,
340,score,3,2,,,,
340,decision,,,1.2279,Mild,,
350,score,0,0,,,,
360,score,0,0,,,,
360,decision,,,0.5914,Mild,,
370,score,0,0,,,,
380,score,0,0,,,,
380,decision,,,0.2593,Comfort,,
390,score,0,0,,,,
