time_s,event_type,score,after_score,s_bar,level,from_behavior,to_behavior
0,score,3,4,,,,
0,decision,,,3,Bad,,
0,switch,,,3,Bad,aggressive,cautious
10,score,3,3,,,,
20,score,3,4,,,,
20,decision,,,3,Bad,,
30,score,4,3,,,,
40,score,3,3,,,,
40,decision,,,3.2504,Bad,,
50,score,3,4,,,,
60,score,4,3,,,,
60,decision,,,3.4484,Bad,,
70,score,0,2,,,,
80,score,0,0,,,,
80,decision,,,1.542,Bad,,
90,score,4,3,,,,
100,decision,,,2.1885,Bad,,
110,score,4,3,,,,
120,score,3,2,,,,
120,decision,,,2.8924,Bad,,
130,score,0,0,,,,
140,score,3,2,,,,
140,decision,,,2.4284,Bad,,
150,score,0,1,,,,
160,score,3,2,,,,
160,decision,,,1.9954,Bad,,
170,score,3,2,,,,
180,decision,,,2.1854,Bad,,
190,score,0,0,,,,
200,score,0,0,,,,
200,decision,,,0.7468,Mild,,
210,score,0,0,,,,
220,score,3,2,,,,
220,decision,,,1.2799,Mild,,
230,score,3,2,,,,
240,score,0,0,,,,
240,decision,,,1.2097,Mild,,
250,score,0,0,,,,
260,decision,,,0.924,Mild,,
270,score,4,2,,,,
280,score,0,1,,,,
280,decision,,,1.3531,Mild,,
290,score,4,3,,,,
300,score,3,2,,,,
300,decision,,,2.6331,Bad,,
310,score,0,1,,,,
320,score,3,2,,,,
320,decision,,,2.2186,Bad,,
330,score,0,0,,,,
340,score,0,0,,,,
340,decision,,,1.0119,Mild,,
350,score,0,0,,,,
360,score,1,0,,,,
360,decision,,,0.5871,Mild,,
370,score,4,2,,,,
380,score,4,3,,,,
380,decision,,,2.4193,Bad,,
390,score,4,3,,,,
400,score,4,2,,,,
400,decision,,,3.4931,Bad,,
410,score,4,3,,,,
420,score,4,3,,,,
420,decision,,,4,Bad,,
430,score,4,3,,,,
440,score,4,2,,,,
440,decision,,,4,Bad,,
450,score,4,3,,,,
460,score,4,3,,,,
460,decision,,,4,Bad,,
470,score,4,3,,,,
480,score,4,2,,,,
480,decision,,,4,Bad,,
490,score,4,2,,,,
500,score,4,4,,,,
500,decision,,,4,Bad,,
510,score,4,4,,,,
520,score,4,3,,,,
520,decision,,,4,Bad,,
530,score,4,2,,,,
540,score,4,3,,,,
540,decision,,,4,Bad,,
550,score,4,4,,,,
560,score,4,4,,,,
560,decision,,,4,Bad,,
570,score,4,3,,,,
580,score,4,2,,,,
580,decision,,,4,Bad,,
590,score,4,3,,,,
600,score,4,3,,,,
600,decision,,,4,Bad,,
610,score,4,3,,,,
620,score,4,3,,,,
620,decision,,,4,Bad,,
630,score,4,2,,,,
640,score,4,3,,,,
640,decision,,,4,Bad,,
650,score,4,3,,,,
