time_s,event_type,score,after_score,s_bar,level,from_behavior,to_behavior
0,score,4,4,,,,
0,decision,,,4,Bad,,
0,switch,,,4,Bad,aggressive,cautious
10,score,4,4,,,,
20,score,3,4,,,,
20,decision,,,3.5516,Bad,,
30,score,0,1,,,,
40,score,0,0,,,,
40,decision,,,1.421,Mild,,
50,score,0,1,,,,
60,score,4,3,,,,
60,decision,,,1.8183,Bad,,
70,score,0,0,,,,
80,score,0,0,,,,
80,decision,,,0.6733,Mild,,
90,score,4,3,,,,
100,score,3,2,,,,
100,decision,,,2.2688,Bad,,
110,score,0,1,,,,
120,score,4,2,,,,
120,decision,,,2.2987,Bad,,
130,score,3,2,,,,
140,score,3,2,,,,
140,decision,,,2.8684,Bad,,
150,score,3,2,,,,
160,score,3,3,,,,
160,decision,,,2.9007,Bad,,
170,score,0,1,,,,
180,score,0,0,,,,
180,decision,,,1.3118,Mild,,
190,score,0,0,,,,
200,decision,,,0.6621,Mild,,
210,score,0,0,,,,
220,score,0,0,,,,
220,decision,,,0,Comfort,,
230,score,0,0,,,,
240,score,0,0,,,,
240,decision,,,0,Comfort,,
250,score,0,0,,,,
260,score,3,2,,,,
260,decision,,,0.9835,Mild,,
270,score,0,0,,,,
280,score,0,0,,,,
280,decision,,,0.505,Mild,,
290,score,3,3,,,,
300,score,3,2,,,,
300,decision,,,1.9475,Bad,,
310,score,0,0,,,,
320,score,0,0,,,,
320,decision,,,0.8668,Mild,,
330,score,3,2,,,,
340,score,0,1,,,,
340,decision,,,1.1497,Mild,,
350,score,3,1,,,,
360,score,4,2,,,,
360,decision,,,2.3779,Bad,,
370,score,3,1,,,,
380,score,0,0,,,,
380,decision,,,1.9256,Bad,,
390,score,0,0,,,,
400,score,0,0,,,,
400,decision,,,0.8932,Mild,,
410,score,0,0,,,,
420,score,0,0,,,,
420,decision,,,0.1858,Comfort,,
