time_s,event_type,score,s_bar,level,from_behavior,to_behavior
0.0,score,0.0,,,,
0.0,decision,,0.0,Comfort,,
10.0,score,0.0,,,,
20.0,score,3.0,,,,
20.0,decision,,1.3453,Mild,,
20.0,switch,,1.3453,Mild,aggressive,normal
30.0,score,0.0,,,,
40.0,score,4.0,,,,
40.0,decision,,1.9362,Bad,,
50.0,score,0.0,,,,
60.0,score,3.0,,,,
60.0,decision,,1.916,Bad,,
60.0,switch,,1.916,Bad,normal,cautious
70.0,score,3.0,,,,
80.0,score,3.0,,,,
80.0,decision,,2.5388,Bad,,
90.0,score,0.0,,,,
100.0,score,0.0,,,,
100.0,decision,,1.126,Mild,,
110.0,score,4.0,,,,
120.0,score,3.0,,,,
120.0,decision,,2.3681,Bad,,
130.0,score,1.0,,,,
140.0,score,4.0,,,,
140.0,decision,,2.5336,Bad,,
150.0,score,0.0,,,,
160.0,score,0.0,,,,
160.0,decision,,1.3008,Mild,,
170.0,score,0.0,,,,
180.0,score,3.0,,,,
180.0,decision,,1.3911,Mild,,
190.0,score,3.0,,,,
200.0,score,3.0,,,,
200.0,decision,,2.1932,Bad,,
210.0,score,3.0,,,,
220.0,score,4.0,,,,
220.0,decision,,3.1421,Bad,,
230.0,score,0.0,,,,
240.0,score,0.0,,,,
240.0,decision,,1.4801,Mild,,
250.0,score,3.0,,,,
260.0,score,0.0,,,,
260.0,decision,,1.2361,Mild,,
270.0,score,0.0,,,,
280.0,decision,,0.5383,Mild,,
300.0,score,0.0,,,,
300.0,decision,,0.3113,Comfort,,
310.0,score,0.0,,,,
320.0,score,1.0,,,,
320.0,decision,,0.4134,Comfort,,
330.0,score,0.0,,,,
340.0,score,3.0,,,,
340.0,decision,,1.2279,Mild,,
350.0,score,0.0,,,,
360.0,score,0.0,,,,
360.0,decision,,0.5914,Mild,,
370.0,score,0.0,,,,
380.0,score,0.0,,,,
380.0,decision,,0.2593,Comfort,,
390.0,score,0.0,,,,
