评分,次数,占比
0,1423,0.4602199223803364
1,662,0.21410090556274256
2,478,0.15459249676584735
3,282,0.09120310478654592
4,156,0.050452781371280724
5,54,0.017464424320827943
6,27,0.008732212160413972
7,6,0.0019404915912031048
8,1,0.0003234152652005175
9,3,0.0009702457956015524
