data_source,session,评分数量,平均分,最小,最大
project_data,20251109163847_zzh_01_zzh/20251109163847_zzh_01_zzh/zzh/evt.bdf,12,0.0,0,0
project_data,20251109164611_zzh_01_01_zzh/20251109164611_zzh_01_01_zzh/zzh/evt.bdf,12,0.08333333333333333,0,1
project_data,20251109165352_zzh_02_zzh/20251109165352_zzh_02_zzh/zzh/evt.bdf,12,0.0,0,0
project_data,20251109170157_zzh_02_01_zzh/20251109170157_zzh_02_01_zzh/zzh/evt.bdf,11,0.6363636363636364,0,1
project_data,20251109170915_zzh_03_zzh/20251109170915_zzh_03_zzh/zzh/evt.bdf,12,0.0,0,0
project_data,20251109171632_zzh_03_01_zzh/20251109171632_zzh_03_01_zzh/zzh/evt.bdf,12,0.3333333333333333,0,1
project_data,20251109172433_zzh_04_zzh/20251109172433_zzh_04_zzh/zzh/evt.bdf,12,0.0,0,0
project_data,20251109173219_zzh_04_01_zzh/20251109173219_zzh_04_01_zzh/zzh/evt.bdf,12,1.1666666666666667,0,2
project_data,20251109174114_zzh_05_zzh/20251109174114_zzh_05_zzh/zzh/evt.bdf,11,0.0,0,0
project_data,20251109174847_zzh_05_01_zzh/20251109174847_zzh_05_01_zzh/zzh/evt.bdf,12,0.4166666666666667,0,2
project_data,20251109190919_whj_01_whj/20251109190919_whj_01_whj/whj/evt.bdf,12,0.0,0,0
project_data,20251109191851_whj_01_01_whj/20251109191851_whj_01_01_whj/whj/evt.bdf,12,0.0,0,0
project_data,20251109192554_whj_02_whj/20251109192554_whj_02_whj/whj/evt.bdf,11,0.0,0,0
project_data,20251109193319_whj_02_01_whj/20251109193319_whj_02_01_whj/whj/evt.bdf,10,1.9,0,3
project_data,20251109194017_whj_03_whj/20251109194017_whj_03_whj/whj/evt.bdf,10,3.1,2,4
project_data,20251109194719_whj_03_01_whj/20251109194719_whj_03_01_whj/whj/evt.bdf,12,3.6666666666666665,3,4
project_data,20251109195509_whj_04_whj/20251109195509_whj_04_whj/whj/evt.bdf,12,3.9166666666666665,3,4
project_data,20251109200213_whj_04_01_whj/20251109200213_whj_04_01_whj/whj/evt.bdf,10,3.8,3,4
project_data,20251109200923_whj_05_whj/20251109200923_whj_05_whj/whj/evt.bdf,11,3.6363636363636362,3,4
project_data,20251109201627_whj_05_01_whj/20251109201627_whj_05_01_whj/whj/evt.bdf,11,3.6363636363636362,3,4
project_data,20251110155449_dk_01_dk/20251110155449_dk_01_dk/dk/evt.bdf,11,0.0,0,0
project_data,20251110160150_dk_01_01_dk/20251110160150_dk_01_01_dk/dk/evt.bdf,11,0.0,0,0
project_data,20251110161158_dk_02_dk/20251110161158_dk_02_dk/dk/evt.bdf,12,0.8333333333333334,0,2
project_data,20251110161910_dk_02_01_dk/20251110161910_dk_02_01_dk/dk/evt.bdf,11,0.0,0,0
project_data,20251110162610_dk_03_dk/20251110162610_dk_03_dk/dk/evt.bdf,12,0.0,0,0
project_data,20251110163326_dk_03_01_dk/20251110163326_dk_03_01_dk/dk/evt.bdf,11,0.18181818181818182,0,1
project_data,20251110164057_dk_04_dk/20251110164057_dk_04_dk/dk/evt.bdf,12,1.75,0,2
project_data,20251110164814_dk_04_01_dk/20251110164814_dk_04_01_dk/dk/evt.bdf,11,1.2727272727272727,1,3
project_data,20251110165521_dk_05_dk/20251110165521_dk_05_dk/dk/evt.bdf,11,1.6363636363636365,0,2
project_data,20251110170227_dk_05_01_dk/20251110170227_dk_05_01_dk/dk/evt.bdf,12,1.25,1,2
project_data,20251110174225_xe_01_xe/20251110174225_xe_01_xe/xe/evt.bdf,9,0.7777777777777778,0,3
project_data,20251110174937_xe_01_01_xe/20251110174937_xe_01_01_xe/xe/evt.bdf,12,0.16666666666666666,0,1
project_data,20251110175704_xe_02_xe/20251110175704_xe_02_xe/xe/evt.bdf,11,0.2727272727272727,0,1
project_data,20251110180430_xe_02_01_xe/20251110180430_xe_02_01_xe/xe/evt.bdf,12,0.5,0,2
project_data,20251110181126_xe_03_xe/20251110181126_xe_03_xe/xe/evt.bdf,11,0.36363636363636365,0,1
project_data,20251110181924_xe_03_01_xe/20251110181924_xe_03_01_xe/xe/evt.bdf,10,0.1,0,1
project_data,20251110183002_xe_04_xe/20251110183002_xe_04_xe/xe/evt.bdf,12,0.8333333333333334,0,4
project_data,20251110183702_xe_04_01_xe/20251110183702_xe_04_01_xe/xe/evt.bdf,11,0.7272727272727273,0,4
project_data,20251110184359_xe_05_xe/20251110184359_xe_05_xe/xe/evt.bdf,8,0.375,0,3
project_data,20251110185105_xe_05_01_xe/20251110185105_xe_05_01_xe/xe/evt.bdf,10,0.4,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223101422_hsp_01_hsp/20251223101422_hsp_01_hsp/hsp/evt.bdf,5,2.6,1,4
/Volumes/LENOVO_USB_HDD/MS/data,20251223101944_hsp_02_hsp/20251223101944_hsp_02_hsp/hsp/evt.bdf,11,2.727272727272727,0,5
/Volumes/LENOVO_USB_HDD/MS/data,20251223102737_hsp_03_hsp/20251223102737_hsp_03_hsp/hsp/evt.bdf,12,1.9166666666666667,0,5
/Volumes/LENOVO_USB_HDD/MS/data,20251223103514_hsp_04_hsp/20251223103514_hsp_04_hsp/hsp/evt.bdf,12,3.1666666666666665,0,5
/Volumes/LENOVO_USB_HDD/MS/data,20251223104248_hsp_05_hsp/20251223104248_hsp_05_hsp/hsp/evt.bdf,12,2.9166666666666665,1,5
/Volumes/LENOVO_USB_HDD/MS/data,20251223120255_dm_01_dm/20251223120255_dm_01_dm/dm/evt.bdf,9,0.8888888888888888,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223121014_dm_02_dm/20251223121014_dm_02_dm/dm/evt.bdf,12,1.5,0,3
/Volumes/LENOVO_USB_HDD/MS/data,20251223121810_dm_03_dm/20251223121810_dm_03_dm/dm/evt.bdf,11,1.0,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223122556_dm_04_dm/20251223122556_dm_04_dm/dm/evt.bdf,11,1.2727272727272727,0,3
/Volumes/LENOVO_USB_HDD/MS/data,20251223123336_dm_05_dm/20251223123336_dm_05_dm/dm/evt.bdf,11,1.0909090909090908,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223144608_lbx_01_lbx/20251223144608_lbx_01_lbx/lbx/evt.bdf,10,1.0,0,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223150438_lbx_03_lbx/20251223150438_lbx_03_lbx/lbx/evt.bdf,11,1.6363636363636365,1,2
/Volumes/LENOVO_USB_HDD/MS/data,20251223151225_lbx_04_lbx/20251223151225_lbx_04_lbx/lbx/evt.bdf,12,1.75,1,2
