time_s,event_type,score,s_bar,level,from_behavior,to_behavior
0.0,score,4.0,,,,
0.0,decision,,4.0,Bad,,
0.0,switch,,4.0,Bad,aggressive,cautious
10.0,score,4.0,,,,
20.0,score,3.0,,,,
20.0,decision,,3.5516,Bad,,
30.0,score,0.0,,,,
40.0,score,0.0,,,,
40.0,decision,,1.421,Mild,,
50.0,score,0.0,,,,
60.0,score,4.0,,,,
60.0,decision,,1.8183,Bad,,
70.0,score,0.0,,,,
80.0,score,0.0,,,,
80.0,decision,,0.6733,Mild,,
90.0,score,4.0,,,,
100.0,score,3.0,,,,
100.0,decision,,2.2688,Bad,,
110.0,score,0.0,,,,
120.0,score,4.0,,,,
120.0,decision,,2.2987,Bad,,
130.0,score,3.0,,,,
140.0,score,3.0,,,,
140.0,decision,,2.8684,Bad,,
150.0,score,3.0,,,,
160.0,score,3.0,,,,
160.0,decision,,2.9007,Bad,,
170.0,score,0.0,,,,
180.0,score,0.0,,,,
180.0,decision,,1.3118,Mild,,
190.0,score,0.0,,,,
200.0,decision,,0.6621,Mild,,
210.0,score,0.0,,,,
220.0,score,0.0,,,,
220.0,decision,,0.0,Comfort,,
230.0,score,0.0,,,,
240.0,score,0.0,,,,
240.0,decision,,0.0,Comfort,,
250.0,score,0.0,,,,
260.0,score,3.0,,,,
260.0,decision,,0.9835,Mild,,
270.0,score,0.0,,,,
280.0,score,0.0,,,,
280.0,decision,,0.505,Mild,,
290.0,score,3.0,,,,
300.0,score,3.0,,,,
300.0,decision,,1.9475,Bad,,
310.0,score,0.0,,,,
320.0,score,0.0,,,,
320.0,decision,,0.8668,Mild,,
330.0,score,3.0,,,,
340.0,score,0.0,,,,
340.0,decision,,1.1497,Mild,,
350.0,score,3.0,,,,
360.0,score,4.0,,,,
360.0,decision,,2.3779,Bad,,
370.0,score,3.0,,,,
380.0,score,0.0,,,,
380.0,decision,,1.9256,Bad,,
390.0,score,0.0,,,,
400.0,score,0.0,,,,
400.0,decision,,0.8932,Mild,,
410.0,score,0.0,,,,
420.0,score,0.0,,,,
420.0,decision,,0.1858,Comfort,,
