time_s,event_type,score,s_bar,level,from_behavior,to_behavior
0.0,score,3.0,,,,
0.0,decision,,3.0,Bad,,
0.0,switch,,3.0,Bad,aggressive,cautious
10.0,score,3.0,,,,
20.0,score,3.0,,,,
20.0,decision,,3.0,Bad,,
30.0,score,4.0,,,,
40.0,score,3.0,,,,
40.0,decision,,3.2504,Bad,,
50.0,score,3.0,,,,
60.0,score,4.0,,,,
60.0,decision,,3.4484,Bad,,
70.0,score,0.0,,,,
80.0,score,0.0,,,,
80.0,decision,,1.542,Bad,,
90.0,score,4.0,,,,
100.0,decision,,2.1885,Bad,,
110.0,score,4.0,,,,
120.0,score,3.0,,,,
120.0,decision,,2.8924,Bad,,
130.0,score,0.0,,,,
140.0,score,3.0,,,,
140.0,decision,,2.4284,Bad,,
150.0,score,0.0,,,,
160.0,score,3.0,,,,
160.0,decision,,1.9954,Bad,,
170.0,score,3.0,,,,
180.0,decision,,2.1854,Bad,,
190.0,score,0.0,,,,
200.0,score,0.0,,,,
200.0,decision,,0.7468,Mild,,
210.0,score,0.0,,,,
220.0,score,3.0,,,,
220.0,decision,,1.2799,Mild,,
230.0,score,3.0,,,,
240.0,score,0.0,,,,
240.0,decision,,1.2097,Mild,,
250.0,score,0.0,,,,
260.0,decision,,0.924,Mild,,
270.0,score,4.0,,,,
280.0,score,0.0,,,,
280.0,decision,,1.3531,Mild,,
290.0,score,4.0,,,,
300.0,score,3.0,,,,
300.0,decision,,2.6331,Bad,,
310.0,score,0.0,,,,
320.0,score,3.0,,,,
320.0,decision,,2.2186,Bad,,
330.0,score,0.0,,,,
340.0,score,0.0,,,,
340.0,decision,,1.0119,Mild,,
350.0,score,0.0,,,,
360.0,score,1.0,,,,
360.0,decision,,0.5871,Mild,,
370.0,score,4.0,,,,
380.0,score,4.0,,,,
380.0,decision,,2.4193,Bad,,
390.0,score,4.0,,,,
400.0,score,4.0,,,,
400.0,decision,,3.4931,Bad,,
410.0,score,4.0,,,,
420.0,score,4.0,,,,
420.0,decision,,4.0,Bad,,
430.0,score,4.0,,,,
440.0,score,4.0,,,,
440.0,decision,,4.0,Bad,,
450.0,score,4.0,,,,
460.0,score,4.0,,,,
460.0,decision,,4.0,Bad,,
470.0,score,4.0,,,,
480.0,score,4.0,,,,
480.0,decision,,4.0,Bad,,
490.0,score,4.0,,,,
500.0,score,4.0,,,,
500.0,decision,,4.0,Bad,,
510.0,score,4.0,,,,
520.0,score,4.0,,,,
520.0,decision,,4.0,Bad,,
530.0,score,4.0,,,,
540.0,score,4.0,,,,
540.0,decision,,4.0,Bad,,
550.0,score,4.0,,,,
560.0,score,4.0,,,,
560.0,decision,,4.0,Bad,,
570.0,score,4.0,,,,
580.0,score,4.0,,,,
580.0,decision,,4.0,Bad,,
590.0,score,4.0,,,,
600.0,score,4.0,,,,
600.0,decision,,4.0,Bad,,
610.0,score,4.0,,,,
620.0,score,4.0,,,,
620.0,decision,,4.0,Bad,,
630.0,score,4.0,,,,
640.0,score,4.0,,,,
640.0,decision,,4.0,Bad,,
650.0,score,4.0,,,,
